City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Faanui,PF,78.06,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
209,Anshun,CN,74.28,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
215,Ocara,BR,73.02,scattered clouds,-4.4908,-38.5967,Pousada familiar
216,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
218,Marawi,PH,77.31,broken clouds,7.9986,124.2928,Derogongan Residence
223,Touros,BR,75.72,clear sky,-5.1989,-35.4608,INN NEW HORIZON
224,Cabo San Lucas,MX,78.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
225,Banjar,ID,83.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
227,Tema,GH,75.61,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
229,Ixtapa,MX,73.56,broken clouds,20.7,-105.2,hotel la terminal
230,Sangre Grande,TT,76.17,overcast clouds,10.5835,-61.1177,Lotus drive
231,Marzuq,YE,82.42,scattered clouds,14.4,46.4667,حيد القفلة
232,Sampit,ID,86.83,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
233,Alexandria,EG,75.74,clear sky,31.2156,29.9553,Royal Crown Hotel
235,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
236,Abeche,TD,83.26,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
238,Muskogee,US,70.02,broken clouds,35.5834,-95.3336, 
239,Nargana,PA,78.64,overcast clouds,9.4428,-78.5906,Dubbir
240,Carnot,CF,70.74,overcast clouds,4.9409,15.8665, 
241,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
242,Sao Paulo De Olivenca,BR,74.86,scattered clouds,-3.3783,-68.8725, 
243,Mbala,ZM,71.02,broken clouds,-8.8402,31.3659,Lake Chila Lodge
247,Zvishavane,ZW,77.94,clear sky,-20.3267,30.0665,Hotel Boutique Runde
248,Vao,NC,70.99,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
249,Richards Bay,ZA,79.23,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
251,Saint George,US,73.99,scattered clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
257,Taitung,TW,86.27,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
261,Arlit,NE,85.12,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
263,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
267,Takoradi,GH,74.28,light rain,4.8845,-1.7554,Raybow International Hotel
268,Kieta,PG,82.98,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
283,Lorengau,PG,84.18,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Marsa Matruh,EG,75.4,scattered clouds,31.3525,27.2453,Beau Site
288,Liwale,TZ,80.76,few clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
291,Agadez,NE,80.78,clear sky,19.75,10.25, 
