City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Awbari,0,LY,2022-10-06 01:51:11,42,26.5921,12.7805,69.22,8.59
67,Pueblo Nuevo,85,MX,2022-10-06 01:51:11,94,23.3833,-105.3833,54.1,3.13
68,Kavieng,91,PG,2022-10-06 01:51:12,71,-2.5744,150.7967,84.61,14.18
69,Krasnyy Chikoy,16,RU,2022-10-06 01:51:13,44,50.3643,108.7512,36.64,1.86
70,San Patricio,7,US,2022-10-06 01:51:14,57,28.017,-97.5169,80.46,8.41
71,Kaitangata,95,NZ,2022-10-06 01:51:14,80,-46.2817,169.8464,42.87,17.58
72,Cabinda,100,AO,2022-10-06 01:51:14,87,-5.55,12.2,75.36,6.87
73,Hofn,42,IS,2022-10-06 01:51:15,57,64.2539,-15.2082,42.33,10.87
74,Batticaloa,100,LK,2022-10-06 01:51:16,72,7.7102,81.6924,80.08,4.18
75,Sept-Iles,75,CA,2022-10-06 01:48:59,93,50.2001,-66.3821,50.52,2.3
76,Sioux Lookout,75,CA,2022-10-06 01:51:17,87,50.1001,-91.917,50.07,14.97
77,Grindavik,75,IS,2022-10-06 01:51:17,93,63.8424,-22.4338,41.47,5.75
78,Port Elizabeth,40,ZA,2022-10-06 01:51:17,87,-33.918,25.5701,59.31,9.22
79,Bredasdorp,1,ZA,2022-10-06 01:51:18,91,-34.5322,20.0403,48.69,7.29
80,Isangel,75,VU,2022-10-06 01:51:18,78,-19.55,169.2667,80.71,11.5
81,Okha,95,RU,2022-10-06 01:51:19,71,53.5739,142.9478,36.9,20.8
82,Esperance,24,AU,2022-10-06 01:51:20,57,-33.8667,121.9,57.96,21.41
83,Faya,47,SA,2022-10-06 01:51:20,31,18.3851,42.4509,68.11,6.93
84,Ilulissat,100,GL,2022-10-06 01:51:21,70,69.2167,-51.1,17.62,5.1
85,Port Alfred,66,ZA,2022-10-06 01:51:21,94,-33.5906,26.891,57.18,1.99
86,Lagoa,97,PT,2022-10-06 01:51:22,86,39.05,-27.9833,69.03,17.58
87,Nicoya,100,CR,2022-10-06 01:51:22,92,10.1483,-85.452,75.56,2.71
88,Ilhabela,96,BR,2022-10-06 01:51:23,93,-23.7781,-45.3581,68.04,10.09
89,Dhidhdhoo,100,MV,2022-10-06 01:49:52,76,6.8833,73.1,81.63,17.34
90,Padang,97,ID,2022-10-06 01:49:35,82,-0.9492,100.3543,78.85,6.29
91,Georgetown,20,MY,2022-10-06 01:46:40,87,5.4112,100.3354,81.9,3.44
92,Airai,94,TL,2022-10-06 01:51:25,52,-8.9266,125.4092,74.23,3.6
93,Leh,0,IN,2022-10-06 01:51:26,50,34.1667,77.5833,44.1,4.14
94,Biloela,15,AU,2022-10-06 01:51:26,41,-24.4167,150.5,80.67,1.95
95,Sabang,92,ID,2022-10-06 01:52:27,77,5.8933,95.3214,79.92,9.75
96,Ilesha,100,NG,2022-10-06 01:52:28,99,7.1371,5.2583,70.59,2.59
97,Bethel,100,US,2022-10-06 01:52:28,89,41.3712,-73.414,59.54,4.0
98,Aruppukkottai,100,IN,2022-10-06 01:52:29,64,9.5167,78.1,81.03,3.38
99,Porbandar,25,IN,2022-10-06 01:52:29,74,21.6422,69.6093,80.08,9.8
100,Sinnamary,3,GF,2022-10-06 01:52:29,87,5.3833,-52.95,78.57,9.62
101,Viedma,0,AR,2022-10-06 01:48:27,65,-40.8135,-62.9967,57.97,19.66
102,Great Yarmouth,0,GB,2022-10-06 01:52:30,73,52.6083,1.7305,50.45,19.1
103,Gasa,7,PS,2022-10-06 01:51:35,77,31.5,34.4667,67.87,5.73
104,Carnarvon,0,AU,2022-10-06 01:52:31,34,-24.8667,113.6333,68.07,25.32
105,Cape Town,20,ZA,2022-10-06 01:51:14,77,-33.9258,18.4232,61.38,6.91
106,Launceston,75,AU,2022-10-06 01:52:31,70,-41.45,147.1667,58.15,16.11
107,Mataura,73,NZ,2022-10-06 01:52:32,91,-46.1927,168.8643,47.48,10.65
108,Coquimbo,0,CL,2022-10-06 01:52:32,94,-29.9533,-71.3436,55.13,2.3
109,Crowley,9,US,2022-10-06 01:52:33,59,30.2141,-92.3746,74.98,2.37
110,Coihaique,100,CL,2022-10-06 01:47:59,76,-45.5752,-72.0662,44.55,4.61
111,Butaritari,8,KI,2022-10-06 01:52:33,72,3.0707,172.7902,82.31,13.71
112,Kalakamati,0,BW,2022-10-06 01:52:34,34,-20.5929,27.3121,68.59,8.39
113,Saskylakh,94,RU,2022-10-06 01:52:35,96,71.9167,114.0833,10.35,5.5
114,Cody,0,US,2022-10-06 01:50:06,44,44.5263,-109.0565,64.62,9.22
115,Upernavik,100,GL,2022-10-06 01:52:35,89,72.7868,-56.1549,19.92,4.47
116,Asau,100,RO,2022-10-06 01:52:36,78,46.4333,26.4,42.28,6.02
