City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Longyan,CN,25.1072,117.0225,82.76,68,71,0.81,broken clouds
79,Tual,ID,-5.6667,132.75,83.05,78,100,12.3,overcast clouds
80,Nanortalik,GL,60.1432,-45.2371,35.74,88,18,10.47,few clouds
81,Pisco,PE,-13.7,-76.2167,59.05,82,100,2.3,overcast clouds
82,Jalu,LY,29.0331,21.5482,70.92,49,43,12.3,scattered clouds
83,Kavaratti,IN,10.5669,72.642,81.93,75,100,16.75,overcast clouds
84,Alice Springs,AU,-23.7,133.8833,94.55,40,0,19.57,clear sky
85,Seymchan,RU,62.8833,152.4333,22.3,85,100,10.16,light snow
86,Geraldton,AU,-28.7667,114.6,68.41,42,23,17.27,few clouds
87,Tiksi,RU,71.6872,128.8694,24.84,89,100,17.18,overcast clouds
88,Kapaa,US,22.0752,-159.319,78.78,76,75,9.22,broken clouds
89,Vostok,RU,46.4856,135.8833,39.61,36,81,12.59,broken clouds
90,Monte Azul,BR,-15.155,-42.8747,71.2,66,25,5.93,scattered clouds
91,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,18.41,scattered clouds
92,Pandan Niog,PH,6.2282,120.5631,83.44,72,47,1.97,light rain
93,Rancho Palos Verdes,US,33.7445,-118.387,68.99,92,40,5.01,scattered clouds
94,Victoria,HK,22.2855,114.1577,89.96,64,18,13.0,few clouds
95,Eyl,SO,7.9803,49.8164,84.31,58,38,17.98,scattered clouds
96,Olafsvik,IS,64.8945,-23.7142,43.34,71,100,9.04,overcast clouds
97,Talnakh,RU,69.4865,88.3972,31.21,94,99,4.97,overcast clouds
98,Saldanha,ZA,-33.0117,17.9442,55.45,75,100,3.51,overcast clouds
99,Yellowknife,CA,62.456,-114.3525,43.32,87,20,16.11,few clouds
100,Port Keats,AU,-14.25,129.55,88.56,56,86,8.28,overcast clouds
101,Port Alfred,ZA,-33.5906,26.891,62.19,87,71,4.0,broken clouds
102,Bluff,NZ,-46.6,168.3333,45.81,58,97,19.91,overcast clouds
103,Torbay,CA,47.6666,-52.7314,48.97,92,40,11.5,scattered clouds
104,Khatanga,RU,71.9667,102.5,16.68,96,100,7.02,overcast clouds
105,Tanout,NE,14.9709,8.8879,84.65,39,88,3.67,overcast clouds
106,Nouakchott,MR,18.0858,-15.9785,82.33,69,69,1.1,broken clouds
107,Soe,ID,-9.8607,124.284,82.98,45,95,8.86,overcast clouds
108,Jamestown,US,42.097,-79.2353,52.72,77,0,3.44,clear sky
109,Yerbogachen,RU,61.2767,108.0108,37.18,53,50,6.98,scattered clouds
110,Nizhnyaya Tavda,RU,57.6731,66.1725,49.73,51,100,6.6,overcast clouds
111,Zhezkazgan,KZ,47.8043,67.7144,58.98,12,0,8.95,clear sky
112,Kodiak,US,57.79,-152.4072,53.11,82,100,16.11,overcast clouds
113,Hirara,JP,24.8,125.2833,84.47,74,75,17.27,broken clouds
114,Klaksvik,FO,62.2266,-6.589,47.32,81,78,24.36,light rain
115,Caravelas,BR,-17.7125,-39.2481,72.88,92,62,4.83,broken clouds
116,Steinbach,DE,50.1667,8.5667,57.63,74,0,11.5,clear sky
117,Tilichiki,RU,60.4667,166.1,35.55,73,81,24.99,broken clouds
118,Abu Samrah,SY,35.3029,37.1841,72.46,44,0,3.83,clear sky
119,Taree,AU,-31.9,152.4667,60.71,86,100,3.83,overcast clouds
120,Port Lincoln,AU,-34.7333,135.8667,66.04,64,50,12.66,scattered clouds
121,Ouesso,CG,1.6136,16.0517,72.75,89,100,2.42,light rain
122,Ponta Do Sol,PT,32.6667,-17.1,72.23,75,21,4.94,few clouds
123,Srednekolymsk,RU,67.45,153.6833,23.99,94,100,24.45,snow
124,Castro,BR,-24.7911,-50.0119,56.66,97,100,6.06,heavy intensity rain
125,Gat,IL,31.61,34.7642,80.4,100,3,4.5,clear sky
126,Broome,US,42.2506,-75.833,51.67,83,0,3.44,clear sky
127,Hofn,IS,64.2539,-15.2082,42.08,59,68,11.21,broken clouds
128,Chuy,UY,-33.6971,-53.4616,57.96,86,100,12.19,overcast clouds
129,Cortez,US,37.3489,-108.5859,48.04,93,100,0.0,overcast clouds
130,Pemba,MZ,-12.974,40.5178,77.7,78,75,5.75,broken clouds
131,Norman Wells,CA,65.282,-126.8329,39.24,75,75,4.61,broken clouds
132,Tanushimaru,JP,33.35,130.6833,77.92,42,97,3.62,moderate rain
133,Awbari,LY,26.5921,12.7805,67.42,45,0,7.67,clear sky
134,Ulety,RU,51.3572,112.4849,42.19,30,12,6.78,few clouds
135,Yei,SS,4.095,30.6779,70.41,85,90,2.48,overcast clouds
136,Zhanaozen,KZ,43.3,52.8,66.52,12,42,15.86,scattered clouds
137,Juneau,US,58.3019,-134.4197,55.09,100,100,3.44,overcast clouds
138,Cidreira,BR,-30.1811,-50.2056,64.33,88,100,22.88,overcast clouds
139,Hualmay,PE,-11.0964,-77.6139,59.92,84,29,8.81,scattered clouds
140,Wainwright,CA,52.839,-110.8572,40.71,68,100,5.99,overcast clouds
141,Dabhol,IN,17.6,73.1667,79.97,77,76,4.43,broken clouds
142,Coahuayana,MX,18.7333,-103.6833,76.06,92,80,3.15,broken clouds
143,Fujin,CN,47.26,132.0322,50.0,25,42,12.8,scattered clouds
144,Prince Rupert,CA,54.3161,-130.3201,55.09,100,20,11.5,mist
145,Omboue,GA,-1.5746,9.2618,75.83,87,95,5.23,overcast clouds
146,Kahului,US,20.8947,-156.47,80.62,78,40,12.66,scattered clouds
147,Nome,US,64.5011,-165.4064,44.67,76,100,20.71,overcast clouds
148,Isangel,VU,-19.55,169.2667,77.11,83,75,6.91,broken clouds
149,Henties Bay,NA,-22.116,14.2845,55.98,82,94,6.93,overcast clouds
150,Bethel,US,41.3712,-73.414,59.52,91,0,3.44,clear sky
151,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,13.8,broken clouds
152,Lasa,IT,46.6166,10.7002,56.28,83,27,4.92,scattered clouds
153,Sturgeon Bay,US,44.8342,-87.377,61.16,77,0,8.05,clear sky
154,Bubaque,GW,11.2833,-15.8333,81.5,72,55,6.6,broken clouds
155,Pitsunda,GE,43.1592,40.3378,68.18,80,99,1.48,overcast clouds
156,Vila Velha,BR,-20.3297,-40.2925,73.35,94,100,4.61,overcast clouds
157,Vardo,NO,70.3705,31.1107,46.38,87,75,24.16,broken clouds
158,Lieksa,FI,63.3167,30.0167,51.13,94,100,22.55,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,40,13.8,light rain
160,Palana,RU,59.1167,159.9667,34.41,69,100,33.51,light snow
161,Omsukchan,RU,62.5333,155.8,14.18,87,100,15.41,overcast clouds
162,Thinadhoo,MV,0.5333,72.9333,82.69,75,75,19.66,broken clouds
163,Necochea,AR,-38.5473,-58.7368,52.63,86,100,7.07,light rain
164,Shakawe,BW,-18.3667,21.85,82.72,17,6,10.47,clear sky
165,Tramandai,BR,-29.9847,-50.1336,63.75,89,100,19.95,overcast clouds
166,San Cristobal,VE,7.7669,-72.225,65.68,96,99,3.4,overcast clouds
167,Sergeyevka,KZ,53.88,67.4158,58.98,24,100,11.65,overcast clouds
168,Esso,RU,55.9333,158.7,31.19,77,60,6.55,broken clouds
169,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,87,40,14.97,scattered clouds
170,Fort Nelson,CA,58.8053,-122.7002,31.59,93,0,0.0,clear sky
171,Kindu,CD,-2.95,25.95,74.37,80,100,3.65,overcast clouds
172,Waingapu,ID,-9.6567,120.2641,86.16,66,90,13.11,overcast clouds
173,Yatou,CN,37.15,122.3833,57.42,48,69,14.18,broken clouds
174,Samarai,PG,-10.6167,150.6667,82.36,79,58,11.59,broken clouds
175,Wuhan,CN,30.5833,114.2667,51.89,86,100,9.33,overcast clouds
176,Tarauaca,BR,-8.1614,-70.7656,73.54,86,61,1.92,broken clouds
177,Falmouth,GB,50.1544,-5.0711,55.98,88,20,8.05,few clouds
178,Acarau,BR,-2.8856,-40.12,77.79,80,17,15.77,few clouds
179,Olinda,BR,-8.0089,-34.8553,76.73,83,75,4.61,light rain
180,Boddam,GB,57.4667,-1.7833,50.65,74,55,22.26,broken clouds
181,Smithers,CA,54.7804,-127.1743,48.52,100,0,0.0,mist
